TimeStamp, Channel, Quality, Alpha, Low_beta, High_beta, Gamma, Theta
08.41.00.249, IED_T8, 4, 3.974272, 0.558092, 0.270489, 0.302518, 2.367867 
08.41.00.250, IED_FC6, 4, 6.877696, 0.936890, 0.380338, 0.182641, 2.672210 
08.41.00.252, IED_F4, 4, 6.435327, 0.602166, 0.289940, 0.084351, 2.620985 
08.41.00.254, IED_F8, 4, 14.950901, 2.962304, 1.997127, 0.457514, 30.480603 
08.41.00.256, IED_AF4, 4, 9.501873, 1.013089, 0.442286, 0.121814, 3.096687 
08.41.01.259, IED_AF3, 4, 5.159362, 2.497158, 0.987147, 0.655949, 7.761434 
08.41.01.261, IED_F7, 4, 9.477767, 1.490209, 0.597833, 0.301781, 7.956415 
08.41.01.262, IED_F3, 4, 2.940047, 0.241340, 0.166554, 0.104020, 1.040965 
08.41.01.264, IED_FC5, 4, 10.555651, 1.639702, 0.837443, 0.215395, 11.013805 
08.41.01.270, IED_T7, 4, 3.461534, 0.981241, 0.322545, 0.129985, 4.180844 
08.41.01.271, IED_P7, 4, 4.207562, 0.415598, 0.134402, 0.138443, 3.191619 
08.41.01.273, IED_Pz, 4, 7.517122, 0.789608, 0.237409, 0.224394, 2.662493 
08.41.01.275, IED_O1, 4, 7.517122, 0.789608, 0.237409, 0.224394, 2.662493 
08.41.01.277, IED_O2, 4, 21.302208, 1.305890, 0.647354, 0.167632, 10.033142 
08.41.01.279, IED_P8, 4, 17.369631, 1.675846, 0.885860, 0.219499, 9.204696 
08.41.01.283, IED_T8, 4, 7.207592, 1.041770, 0.747989, 0.262926, 7.426915 
08.41.01.285, IED_FC6, 4, 12.405586, 1.612698, 0.784534, 0.300321, 11.908747 
08.41.01.287, IED_F4, 4, 13.757490, 1.461531, 0.684888, 0.133102, 9.639019 
08.41.01.290, IED_F8, 4, 14.136936, 1.722156, 0.892390, 0.323704, 16.663278 
08.41.01.292, IED_AF4, 4, 16.659333, 1.951774, 0.795393, 0.237933, 12.100223 
08.41.02.295, IED_AF3, 4, 4.600170, 2.175070, 1.573058, 0.523688, 6.887465 
08.41.02.297, IED_F7, 4, 9.546921, 1.002828, 0.709824, 0.389625, 4.883903 
08.41.02.299, IED_F3, 4, 1.513173, 0.260157, 0.122699, 0.072587, 0.276760 
08.41.02.301, IED_FC5, 4, 12.046870, 1.579058, 0.720923, 0.321704, 6.826012 
08.41.02.303, IED_T7, 4, 4.008728, 0.730498, 0.336363, 0.182880, 3.887300 
08.41.02.305, IED_P7, 4, 1.327457, 0.280835, 0.145613, 0.092271, 1.440229 
08.41.02.309, IED_Pz, 4, 3.042800, 0.378931, 0.289526, 0.243003, 2.035755 
08.41.02.311, IED_O1, 4, 3.042800, 0.378931, 0.289526, 0.243003, 2.035755 
08.41.02.313, IED_O2, 4, 6.913434, 0.528515, 0.509186, 0.234699, 4.512602 
08.41.02.316, IED_P8, 4, 9.426910, 0.978212, 0.560804, 0.309316, 6.952331 
08.41.02.318, IED_T8, 4, 6.394447, 0.958758, 0.461503, 0.286753, 4.681957 
08.41.02.319, IED_FC6, 4, 10.274000, 1.334410, 0.824488, 0.297108, 5.904732 
08.41.02.321, IED_F4, 4, 9.998074, 0.873487, 0.426229, 0.200446, 4.431922 
08.41.02.323, IED_F8, 4, 13.710269, 1.947504, 0.731514, 0.340270, 6.879375 
